x	Type	PatientHood	BigramF	W_Freq	(Log)W_Freq
"[""block1-HH-List1"", ""DashedSentence"", {s: [""They"", ""tried"", ""to"", ""choose"",""the committee"", ""before"", ""this summer.""]}],"	block1-HH-List1	4.3	914	1123	3.0508
"[""block2-HL-List1"", ""DashedSentence"", {s: [""He"", ""loved"", ""to"", ""record"",""the performer"", ""while"", ""walking around.""]}],"	block2-HL-List1	5.1	0	123	2.0934
"[""block3-LH-List1"", ""DashedSentence"", {s: [""She"", ""wanted"", ""to"", ""accuse"",""the prosecutor"", ""of"",""vandalism.""]}],"	block3-LH-List1	2.6	42	366	2.5647
"[""block4-LL-List1"", ""DashedSentence"", {s: [""They"", ""asked"", ""to"", ""torture"",""the rapist"", ""during"", ""the weekend.""]}],"	block4-LL-List1	2.2	0	162	2.2122
"[""block5-HH-List1"", ""DashedSentence"", {s: [""We"", ""had"", ""to"", ""search"",""the house"", ""for"", ""the evidence.""]}],"	block5-HH-List1	6.1	650	26214	4.4185
"[""block6-HL-List1"", ""DashedSentence"", {s: [""He"", ""refused"", ""to"", ""dismiss"",""the pupil"", ""for"", ""such misbehavior.""]}],"	block6-HL-List1	5.5	0	160	2.2068
"[""block7-LH-List1"", ""DashedSentence"", {s: [""We"", ""began"", ""to"", ""punish"",""the mother"", ""despite"", ""the opposition.""]}],"	block7-LH-List1	2.3	36	24476	4.3888
"[""block8-LL-List1"", ""DashedSentence"", {s: [""She"", ""agreed"", ""to"", ""arrest"",""the police"", ""after"", ""three weeks.""]}],"	block8-LL-List1	1.5	0	12044	4.0808
"[""block9-HH-List1"", ""DashedSentence"", {s: [""They"", ""failed"", ""to"", ""tow"",""the car"", ""during"", ""the storm.""]}],"	block9-HH-List1	6.1	22	24636	4.3916
"[""block10-HL-List1"", ""DashedSentence"", {s: [""He"", ""needed"", ""to"", ""show"",""the wallpaper"", ""during"", ""the party.""]}],"	block10-HL-List1	5.3	0	171	2.2355
"[""block11-LH-List1"", ""DashedSentence"", {s: [""She"", ""attempted"", ""to"", ""rescue"",""the rabbit"", ""while"", ""driving.""]}],"	block11-LH-List1	3.4	13	1068	3.029
"[""block12-LL-List1"", ""DashedSentence"", {s: [""We"", ""intended"", ""to"", ""select"",""the gourmet"", ""after"", ""the workshop.""]}],"	block12-LL-List1	3.8	0	111	2.0492
"[""block1-HL-List2"", ""DashedSentence"", {s: [""They"", ""tried"", ""to"", ""choose"",""the computer"", ""before"", ""this summer.""]}],"	block1-HL-List2	4.3	0	3011	3.4789
"[""block2-LH-List2"", ""DashedSentence"", {s: [""He"", ""loved"", ""to"", ""record"",""the man"", ""while"", ""walking around.""]}],"	block2-LH-List2	2.8	313	94133	4.9737
"[""block3-LL-List2"", ""DashedSentence"", {s: [""She"", ""wanted"", ""to"", ""accuse"",""the witness"", ""of"", ""vandalism.""]}],"	block3-LL-List2	3.2	0	2621	3.4186
"[""block4-HH-List2"", ""DashedSentence"", {s: [""They"", ""asked"", ""to"", ""torture"",""the captive"", ""during"", ""the weekend.""]}],"	block4-HH-List2	5.1	144	116	2.0682
"[""block5-HL-List2"", ""DashedSentence"", {s: [""We"", ""had"", ""to"", ""search"",""the thief"", ""for"", ""the evidence.""]}],"	block5-HL-List2	6.1	0	1238	3.0931
"[""block6-LH-List2"", ""DashedSentence"", {s: [""He"", ""refused"", ""to"", ""dismiss"",""the teacher"", ""for"", ""such misbehavior.""]}],"	block6-LH-List2	2.5	177	2842	3.4538
"[""block7-LL-List2"", ""DashedSentence"", {s: [""We"", ""began"", ""to"", ""punish"",""the babysitter"", ""despite"", ""the opposition.""]}],"	block7-LL-List2	2.1	0	236	2.3747
"[""block8-HH-List2"", ""DashedSentence"", {s: [""She"", ""agreed"", ""to"", ""arrest"",""the suspect"", ""after"", ""three weeks.""]}],"	block8-HH-List2	5.5	34	2254	3.3531
"[""block9-HL-List2"", ""DashedSentence"", {s: [""They"", ""failed"", ""to"", ""tow"",""the trailer"", ""during"", ""the storm.""]}],"	block9-HL-List2	6.5	0	579	2.7634
"[""block10-LH-List2"", ""DashedSentence"", {s: [""He"", ""needed"", ""to"", ""show"",""the patient"", ""during"", ""the party.""]}],"	block10-LH-List2	2.5	669	3246	3.5115
"[""block11-LL-List2"", ""DashedSentence"", {s: [""She"", ""strived"", ""to"", ""rescue"",""the peasant"", ""while"", ""driving.""]}],"	block11-LL-List2	2.7	0	205	2.3139
"[""block12-HH-List2"", ""DashedSentence"", {s: [""We"", ""intended"", ""to"", ""select"",""the contractor"", ""after"", ""the workshop.""]}],"	block12-HH-List2	5	10	160	2.2068
"[""block1-LH-List3"", ""DashedSentence"", {s: [""They"", ""tried"", ""to"", ""choose"",""the customer"", ""before"", ""this summer.""]}],"	block1-LH-List3	1.8	12	775	2.8899
"[""block2-LL-List3"", ""DashedSentence"", {s: [""He"", ""loved"", ""to"", ""record"",""the scientist"", ""while"", ""walking around.""]}],"	block2-LL-List3	2.9	0	621	2.7938
"[""block3-HH-List3"", ""DashedSentence"", {s: [""She"", ""wanted"", ""to"", ""accuse"",""the criminal"", ""of"", ""vandalism.""]}],"	block3-HH-List3	6.9	62	1758	3.2453
"[""block4-HL-List3"", ""DashedSentence"", {s: [""They"", ""asked"", ""to"", ""torture"",""the slave"", ""during"", ""the weekend.""]}],"	block4-HL-List3	5.6	0	940	2.9736
"[""block5-LH-List3"", ""DashedSentence"", {s: [""We"", ""had"", ""to"", ""search"",""the mother"", ""for"", ""the evidence.""]}],"	block5-LH-List3	1.9	99	24476	4.3888
"[""block6-LL-List3"", ""DashedSentence"", {s: [""He"", ""refused"", ""to"", ""dismiss"",""the principal"", ""for"", ""such misbehavior.""]}],"	block6-LL-List3	2	0	701	2.8463
"[""block7-HH-List3"", ""DashedSentence"", {s: [""We"", ""began"", ""to"", ""punish"",""the child"", ""despite"", ""the opposition.""]}],"	block7-HH-List3	5.8	264	8040	3.9053
"[""block8-HL-List3"", ""DashedSentence"", {s: [""She"", ""agreed"", ""to"", ""arrest"",""the crook"", ""after"", ""three weeks.""]}],"	block8-HL-List3	5.9	0	289	2.4624
"[""block9-LH-List3"", ""DashedSentence"", {s: [""They"", ""failed"", ""to"", ""tow"",""the man"", ""during"", ""the storm.""]}],"	block9-LH-List3	1.5	10	94133	4.9737
"[""block10-LL-List3"", ""DashedSentence"", {s: [""He"", ""needed"", ""to"", ""show"",""the salesman"", ""during"", ""the party.""]}],"	block10-LL-List3	1.6	0	532	2.7267
"[""block11-HH-List3"", ""DashedSentence"", {s: [""She"", ""strived"", ""to"", ""rescue"",""the child"", ""while"", ""driving.""]}],"	block11-HH-List3	5.3	225	8040	3.9053
"[""block12-HL-List3"", ""DashedSentence"", {s: [""We"", ""intended"", ""to"", ""select"",""the contestant"", ""after"", ""the workshop.""]}],"	block12-HL-List3	5.2	0	136	2.1367
"[""block1-LL-List4"", ""DashedSentence"", {s: [""They"", ""tried"", ""to"", ""choose"",""the shopper"", ""before"", ""this summer.""]}],"	block1-LL-List4	1.9	0	33	1.5315
"[""block2-HH-List4"", ""DashedSentence"", {s: [""He"", ""loved"", ""to"", ""record"",""the message"", ""while"", ""walking around.""]}],"	block2-HH-List4	5.6	266	4667	3.6691
"[""block3-HL-List4"", ""DashedSentence"", {s: [""She"", ""wanted"", ""to"", ""accuse"",""the defendant"", ""of"", ""vandalism.""]}],"	block3-HL-List4	6.8	0	904	2.9566
"[""block4-LH-List4"", ""DashedSentence"", {s: [""They"", ""asked"", ""to"", ""torture"",""the man"", ""during"", ""the weekend.""]}],"	block4-LH-List4	2.8	671	94133	4.9737
"[""block5-LL-List4"", ""DashedSentence"", {s: [""We"", ""had"", ""to"", ""search"",""the patrolman"", ""for"", ""the evidence.""]}],"	block5-LL-List4	1.4	0	62	1.7993
"[""block6-HH-List4"", ""DashedSentence"", {s: [""He"", ""refused"", ""to"", ""dismiss"",""the student"", ""for"", ""such misbehavior.""]}],"	block6-HH-List4	5.9	26	2195	3.3416
"[""block7-HL-List4"", ""DashedSentence"", {s: [""We"", ""began"", ""to"", ""punish"",""the delinquent"", ""despite"", ""the opposition.""]}],"	block7-HL-List4	5.7	0	71	1.8573
"[""block8-LH-List4"", ""DashedSentence"", {s: [""She"", ""agreed"", ""to"", ""arrest"",""the guard"", ""after"", ""three weeks.""]}],"	block8-LH-List4	1.6	92	2968	3.4726
"[""block9-LL-List4"", ""DashedSentence"", {s: [""They"", ""failed"", ""to"", ""tow"",""the family"", ""during"", ""the storm.""]}],"	block9-LL-List4	1.2	0	18067	4.2569
"[""block10-HH-List4"", ""DashedSentence"", {s: [""He"", ""needed"", ""to"", ""show"",""the movie"", ""during"", ""the party.""]}],"	block10-HH-List4	7	102	6271	3.7974
"[""block11-HL-List4"", ""DashedSentence"", {s: [""She"", ""strived"", ""to"", ""rescue"",""the hostage"", ""while"", ""driving.""]}],"	block11-HL-List4	5.2	0	743	2.8716
"[""block12-LH-List4"", ""DashedSentence"", {s: [""We"", ""intended"", ""to"", ""select"",""the secretary"", ""after"", ""the workshop.""]}],"	block12-LH-List4	3.9	52	1694	3.2292
					
					
					
					
					
					
